[INFO] Bluetooth Scan Started
2017-11-02 02:10:44 34:02:86:90:49:16 -40
2017-11-02 02:11:07 2C:81:58:B4:F2:8D -92
2017-11-02 02:11:08 34:02:86:90:49:16 -38
2017-11-02 02:11:33 2C:81:58:B4:F2:8D -98
2017-11-02 02:11:36 34:02:86:90:49:16 -39
2017-11-02 02:12:01 2C:81:58:B4:F2:8D -91
2017-11-02 02:12:03 2C:81:58:B4:F2:8D -96
2017-11-02 02:12:28 34:02:86:90:49:16 -40
2017-11-02 02:12:33 2C:81:58:B4:F2:8D -91
2017-11-02 02:12:54 34:02:86:90:49:16 -42
2017-11-02 02:12:54 34:02:86:90:49:16 -38
2017-11-02 02:13:20 2C:81:58:B4:F2:8D -98
2017-11-02 02:13:23 34:02:86:90:49:16 -38
2017-11-02 02:13:47 2C:81:58:B4:F2:8D -94
2017-11-02 02:13:48 34:02:86:90:49:16 -41
2017-11-02 02:14:13 2C:81:58:B4:F2:8D -95
2017-11-02 02:14:15 34:02:86:90:49:16 -40
2017-11-02 02:14:41 2C:81:58:B4:F2:8D -95
2017-11-02 02:14:42 34:02:86:90:49:16 -39
2017-11-02 02:15:07 2C:81:58:B4:F2:8D -96
2017-11-02 02:15:11 34:02:86:90:49:16 -40
2017-11-02 02:15:35 2C:81:58:B4:F2:8D -94
2017-11-02 02:15:37 34:02:86:90:49:16 -40
2017-11-02 02:16:01 2C:81:58:B4:F2:8D -94
2017-11-02 02:16:09 34:02:86:90:49:16 -39
2017-11-02 02:16:29 2C:81:58:B4:F2:8D -90
2017-11-02 02:16:32 34:02:86:90:49:16 -40
2017-11-02 02:16:58 2C:81:58:B4:F2:8D -95
2017-11-02 02:17:01 2C:81:58:B4:F2:8D -92
2017-11-02 02:17:26 34:02:86:90:49:16 -38
2017-11-02 02:17:27 34:02:86:90:49:16 -42
2017-11-02 02:17:52 2C:81:58:B4:F2:8D -94
2017-11-02 02:17:54 34:02:86:90:49:16 -41
2017-11-02 02:18:19 2C:81:58:B4:F2:8D -92
2017-11-02 02:18:20 34:02:86:90:49:16 -40
2017-11-02 02:18:46 2C:81:58:B4:F2:8D -92
2017-11-02 02:18:49 2C:81:58:B4:F2:8D -98
2017-11-02 02:19:14 34:02:86:90:49:16 -41
2017-11-02 02:19:15 2C:81:58:B4:F2:8D -95
2017-11-02 02:19:41 34:02:86:90:49:16 -46
2017-11-02 02:19:46 34:02:86:90:49:16 -46
2017-11-02 02:20:07 2C:81:58:B4:F2:8D -91
[INFO] Bluetooth Scan Started
2017-11-02 02:20:21 2C:81:58:B4:F2:8D -95
2017-11-02 02:20:47 34:02:86:90:49:16 -46
2017-11-02 02:20:50 2C:81:58:B4:F2:8D -95
2017-11-02 02:21:15 34:02:86:90:49:16 -43
2017-11-02 02:21:18 34:02:86:90:49:16 -43
2017-11-02 02:21:41 2C:81:58:B4:F2:8D -94
[INFO] Bluetooth Scan Started
[INFO] Bluetooth Scan Started
2017-11-02 02:22:24 2C:81:58:B4:F2:8D -92
2017-11-02 02:22:24 2C:81:58:B4:F2:8D -92
2017-11-02 02:22:39 34:02:86:90:49:16 -44
2017-11-02 02:22:39 34:02:86:90:49:16 -44
2017-11-02 02:22:50 34:02:86:90:49:16 -43
2017-11-02 02:22:50 34:02:86:90:49:16 -43
2017-11-02 02:22:54 2C:81:58:B4:F2:8D -89
2017-11-02 02:22:54 2C:81:58:B4:F2:8D -89
